transaction_id,transactionTimestamp,transactionDate,type,category,amount,description,payment_mode
TXN008042,2024-01-03T14:53:58,2024-01-03,DEBIT,Bills,868,Bills transaction,NetBanking
TXN004307,2024-01-03T15:38:41,2024-01-03,DEBIT,Entertainment,1365,Entertainment transaction,Cash
TXN009220,2024-01-03T16:07:20,2024-01-03,DEBIT,Education,4316,Education transaction,NetBanking
TXN011287,2024-01-03T19:09:40,2024-01-03,CREDIT,Income,9410,Income transaction,NetBanking
TXN019988,2024-01-03T19:18:13,2024-01-03,CREDIT,Income,2661,Income transaction,Card
TXN017408,2024-01-03T21:00:31,2024-01-03,DEBIT,Food,429,Food transaction,NetBanking
TXN013903,2024-01-03T22:04:23,2024-01-03,DEBIT,Bills,773,Bills transaction,Cash
TXN015006,2024-01-04T03:34:54,2024-01-04,DEBIT,Bills,1097,Bills transaction,UPI
TXN013795,2024-01-04T03:36:24,2024-01-04,CREDIT,Salary,41978,Salary transaction,NetBanking
TXN011374,2024-01-04T03:57:15,2024-01-04,DEBIT,Food,435,Food transaction,UPI
TXN013705,2024-01-04T04:40:30,2024-01-04,CREDIT,Transfer,15669,Transfer transaction,UPI
TXN001730,2024-01-04T05:49:31,2024-01-04,DEBIT,Shopping,1807,Shopping transaction,Cash
TXN017718,2024-01-04T07:13:02,2024-01-04,DEBIT,Health,1500,Health transaction,UPI
TXN002827,2024-01-04T08:43:18,2024-01-04,CREDIT,Salary,32958,Salary transaction,UPI
TXN003731,2024-01-04T09:04:14,2024-01-04,CREDIT,Salary,28693,Salary transaction,NetBanking
TXN005695,2024-01-04T11:57:10,2024-01-04,DEBIT,Shopping,3707,Shopping transaction,NetBanking
TXN017296,2024-01-04T12:38:07,2024-01-04,DEBIT,Education,2297,Education transaction,UPI
TXN004753,2024-01-04T12:39:05,2024-01-04,DEBIT,Bills,2075,Bills transaction,Cash
TXN014714,2024-01-04T12:45:35,2024-01-04,CREDIT,Income,6980,Income transaction,Card
TXN018742,2024-01-04T13:16:53,2024-01-04,DEBIT,Food,445,Food transaction,Cash
TXN002542,2024-01-04T15:45:50,2024-01-04,CREDIT,Transfer,3501,Transfer transaction,Cash
TXN008595,2024-01-04T16:46:44,2024-01-04,DEBIT,Shopping,4597,Shopping transaction,Cash
TXN014875,2024-01-04T18:26:19,2024-01-04,DEBIT,Shopping,501,Shopping transaction,NetBanking
TXN011731,2024-01-04T18:31:08,2024-01-04,CREDIT,Income,8520,Income transaction,Card
TXN008617,2024-01-04T20:05:29,2024-01-04,CREDIT,Salary,43027,Salary transaction,Cash
TXN019938,2024-01-04T21:14:07,2024-01-04,CREDIT,Salary,30838,Salary transaction,UPI
TXN018849,2024-01-04T21:27:57,2024-01-04,CREDIT,Income,11483,Income transaction,UPI
TXN006046,2024-01-04T23:08:25,2024-01-04,CREDIT,Income,4602,Income transaction,UPI
TXN004561,2024-01-04T23:14:06,2024-01-04,DEBIT,Travel,121,Travel transaction,NetBanking
TXN010176,2024-01-04T23:14:08,2024-01-04,CREDIT,Salary,39277,Salary transaction,Card
TXN016704,2024-01-04T23:39:26,2024-01-04,DEBIT,Travel,2081,Travel transaction,UPI
TXN006166,2024-01-05T00:48:02,2024-01-05,CREDIT,Transfer,11194,Transfer transaction,Card
TXN000660,2024-01-05T01:22:24,2024-01-05,DEBIT,Education,3640,Education transaction,Cash
TXN009337,2024-01-05T03:24:00,2024-01-05,CREDIT,Salary,41716,Salary transaction,Card
TXN004505,2024-01-05T03:28:26,2024-01-05,DEBIT,Education,1860,Education transaction,Card
TXN017354,2024-01-05T03:43:15,2024-01-05,CREDIT,Transfer,12526,Transfer transaction,Card
TXN018371,2024-01-05T03:50:21,2024-01-05,DEBIT,Rent,12776,Rent transaction,Card
TXN005694,2024-01-05T04:12:24,2024-01-05,DEBIT,Shopping,2574,Shopping transaction,Cash
TXN015825,2024-01-05T04:40:45,2024-01-05,DEBIT,Travel,1886,Travel transaction,Cash
TXN006648,2024-01-05T04:46:25,2024-01-05,DEBIT,Food,96,Food transaction,NetBanking
TXN010678,2024-01-05T04:58:53,2024-01-05,CREDIT,Salary,29608,Salary transaction,UPI
TXN007854,2024-01-05T05:17:08,2024-01-05,CREDIT,Transfer,13167,Transfer transaction,Card
TXN016018,2024-01-05T06:38:27,2024-01-05,DEBIT,Shopping,2970,Shopping transaction,UPI
TXN015095,2024-01-05T06:56:35,2024-01-05,DEBIT,Shopping,4169,Shopping transaction,Card
TXN010237,2024-01-05T07:42:58,2024-01-05,CREDIT,Salary,56995,Salary transaction,NetBanking
TXN009996,2024-01-05T07:53:02,2024-01-05,DEBIT,Education,2013,Education transaction,Cash
TXN019653,2024-01-05T10:25:18,2024-01-05,CREDIT,Salary,50859,Salary transaction,UPI
TXN000761,2024-01-05T11:24:13,2024-01-05,DEBIT,Health,990,Health transaction,Cash
TXN005228,2024-01-05T12:00:48,2024-01-05,CREDIT,Transfer,13016,Transfer transaction,UPI
TXN015665,2024-01-05T12:11:09,2024-01-05,DEBIT,Food,118,Food transaction,UPI
TXN003795,2024-01-05T12:29:32,2024-01-05,DEBIT,Health,1978,Health transaction,Cash
TXN014707,2024-01-05T12:29:32,2024-01-05,DEBIT,Health,3571,Health transaction,Cash
TXN014212,2024-01-05T14:32:30,2024-01-05,DEBIT,Rent,11427,Rent transaction,Cash
TXN005219,2024-01-05T14:51:50,2024-01-05,CREDIT,Transfer,3209,Transfer transaction,Card
TXN019374,2024-01-05T15:06:44,2024-01-05,DEBIT,Rent,12845,Rent transaction,Cash
TXN007815,2024-01-05T15:54:40,2024-01-05,DEBIT,Food,377,Food transaction,NetBanking
TXN010447,2024-01-05T16:06:45,2024-01-05,CREDIT,Transfer,10127,Transfer transaction,Cash
TXN016176,2024-01-05T16:17:53,2024-01-05,DEBIT,Education,2319,Education transaction,NetBanking
TXN019177,2024-01-05T17:25:01,2024-01-05,DEBIT,Food,408,Food transaction,Card
TXN015404,2024-01-05T18:23:53,2024-01-05,DEBIT,Travel,2444,Travel transaction,UPI
TXN014644,2024-01-05T18:40:27,2024-01-05,DEBIT,Health,2173,Health transaction,Cash
TXN016930,2024-01-05T19:07:46,2024-01-05,DEBIT,Bills,2466,Bills transaction,UPI
TXN001176,2024-01-05T19:53:04,2024-01-05,DEBIT,Entertainment,519,Entertainment transaction,Card
TXN019127,2024-01-05T20:28:09,2024-01-05,DEBIT,Transfer,1979,Transfer transaction,Card
TXN004049,2024-01-05T20:47:32,2024-01-05,CREDIT,Salary,26733,Salary transaction,Cash
TXN015871,2024-01-05T21:52:50,2024-01-05,DEBIT,Shopping,4909,Shopping transaction,UPI
TXN010497,2024-01-05T22:11:43,2024-01-05,DEBIT,Entertainment,614,Entertainment transaction,Cash
TXN015140,2024-01-05T22:44:25,2024-01-05,DEBIT,Rent,14097,Rent transaction,Card
TXN007914,2024-01-05T23:32:45,2024-01-05,DEBIT,Rent,14589,Rent transaction,Card
TXN004336,2024-01-06T00:14:57,2024-01-06,CREDIT,Income,5499,Income transaction,UPI
TXN013313,2024-01-06T00:28:08,2024-01-06,DEBIT,Bills,2782,Bills transaction,UPI
TXN018876,2024-01-06T01:00:18,2024-01-06,CREDIT,Salary,32707,Salary transaction,Card
TXN016325,2024-01-06T01:48:36,2024-01-06,DEBIT,Bills,488,Bills transaction,UPI
TXN011490,2024-01-06T02:26:45,2024-01-06,DEBIT,Shopping,1887,Shopping transaction,NetBanking
TXN010760,2024-01-06T04:43:10,2024-01-06,DEBIT,Health,3109,Health transaction,UPI
TXN018116,2024-01-06T08:30:19,2024-01-06,DEBIT,Rent,8263,Rent transaction,Card
TXN017259,2024-01-06T10:06:18,2024-01-06,CREDIT,Income,8183,Income transaction,Cash
TXN007531,2024-01-06T12:06:49,2024-01-06,CREDIT,Salary,25761,Salary transaction,NetBanking
TXN006158,2024-01-06T12:27:43,2024-01-06,DEBIT,Entertainment,1092,Entertainment transaction,Cash
TXN001691,2024-01-06T12:43:58,2024-01-06,DEBIT,Entertainment,419,Entertainment transaction,Cash
TXN010792,2024-01-06T12:58:12,2024-01-06,DEBIT,Education,4238,Education transaction,Card
TXN011153,2024-01-06T14:19:27,2024-01-06,CREDIT,Salary,45039,Salary transaction,UPI
TXN019239,2024-01-06T14:21:23,2024-01-06,CREDIT,Salary,38963,Salary transaction,NetBanking
TXN017542,2024-01-06T14:36:44,2024-01-06,DEBIT,Transfer,3012,Transfer transaction,UPI
TXN010306,2024-01-06T15:09:38,2024-01-06,DEBIT,Travel,237,Travel transaction,Card
TXN001143,2024-01-06T15:12:38,2024-01-06,DEBIT,Rent,12699,Rent transaction,UPI
TXN015001,2024-01-06T17:58:52,2024-01-06,CREDIT,Income,1034,Income transaction,UPI
TXN019809,2024-01-06T20:36:01,2024-01-06,CREDIT,Income,6018,Income transaction,NetBanking
TXN005806,2024-01-06T21:02:09,2024-01-06,CREDIT,Income,10826,Income transaction,NetBanking
TXN006568,2024-01-06T21:23:51,2024-01-06,DEBIT,Transfer,6039,Transfer transaction,Card
TXN000985,2024-01-06T22:08:09,2024-01-06,DEBIT,Education,4952,Education transaction,NetBanking
TXN012880,2024-01-07T00:54:12,2024-01-07,DEBIT,Transfer,3551,Transfer transaction,Card
TXN001003,2024-01-07T04:08:40,2024-01-07,DEBIT,Transfer,5807,Transfer transaction,Card
TXN006539,2024-01-07T04:56:47,2024-01-07,DEBIT,Food,229,Food transaction,Cash
TXN010077,2024-01-07T06:17:54,2024-01-07,DEBIT,Rent,8904,Rent transaction,Cash
TXN004246,2024-01-07T07:52:02,2024-01-07,DEBIT,Transfer,7846,Transfer transaction,NetBanking
TXN003424,2024-01-07T10:15:08,2024-01-07,DEBIT,Rent,13048,Rent transaction,Card
TXN004200,2024-01-07T11:16:22,2024-01-07,CREDIT,Transfer,10015,Transfer transaction,Cash
TXN002295,2024-01-07T11:37:19,2024-01-07,CREDIT,Salary,56954,Salary transaction,NetBanking
TXN005463,2024-01-07T13:17:59,2024-01-07,DEBIT,Food,270,Food transaction,Card
TXN014175,2024-01-07T13:44:30,2024-01-07,DEBIT,Health,3502,Health transaction,Card
TXN002493,2024-01-07T13:52:46,2024-01-07,CREDIT,Salary,40313,Salary transaction,UPI
TXN013790,2024-01-07T14:36:35,2024-01-07,DEBIT,Shopping,3074,Shopping transaction,UPI
TXN000419,2024-01-07T15:00:53,2024-01-07,DEBIT,Food,441,Food transaction,Cash
TXN008161,2024-01-07T16:00:31,2024-01-07,CREDIT,Salary,52416,Salary transaction,Card
TXN003363,2024-01-07T17:31:47,2024-01-07,DEBIT,Transfer,6613,Transfer transaction,UPI
TXN018438,2024-01-07T17:34:07,2024-01-07,CREDIT,Income,9435,Income transaction,UPI
TXN002076,2024-01-07T17:46:51,2024-01-07,CREDIT,Salary,37788,Salary transaction,UPI
TXN012008,2024-01-07T19:02:32,2024-01-07,DEBIT,Education,3583,Education transaction,Card
TXN004873,2024-01-07T19:15:48,2024-01-07,CREDIT,Salary,55066,Salary transaction,Card
TXN014379,2024-01-07T19:27:22,2024-01-07,DEBIT,Shopping,1565,Shopping transaction,Cash
TXN000831,2024-01-07T19:42:52,2024-01-07,DEBIT,Education,5528,Education transaction,UPI
TXN015520,2024-01-07T20:59:30,2024-01-07,CREDIT,Salary,25284,Salary transaction,Card
TXN012545,2024-01-07T21:17:51,2024-01-07,DEBIT,Food,499,Food transaction,Cash
TXN018275,2024-01-07T21:41:00,2024-01-07,DEBIT,Health,2736,Health transaction,Cash
TXN006022,2024-01-07T22:00:37,2024-01-07,CREDIT,Transfer,4549,Transfer transaction,UPI
TXN007618,2024-01-07T22:28:26,2024-01-07,DEBIT,Food,314,Food transaction,Cash
TXN003555,2024-01-08T01:49:05,2024-01-08,DEBIT,Bills,2165,Bills transaction,UPI
TXN004332,2024-01-08T03:36:10,2024-01-08,CREDIT,Income,3169,Income transaction,NetBanking
TXN006102,2024-01-08T04:18:57,2024-01-08,CREDIT,Income,8649,Income transaction,UPI
TXN016079,2024-01-08T05:09:31,2024-01-08,CREDIT,Salary,32809,Salary transaction,NetBanking
TXN014550,2024-01-08T05:10:28,2024-01-08,DEBIT,Shopping,3549,Shopping transaction,Card
TXN016788,2024-01-08T06:09:34,2024-01-08,DEBIT,Health,656,Health transaction,UPI
TXN012718,2024-01-08T07:24:45,2024-01-08,DEBIT,Travel,134,Travel transaction,NetBanking
TXN009578,2024-01-08T07:37:42,2024-01-08,DEBIT,Shopping,1761,Shopping transaction,Cash
TXN017929,2024-01-08T10:02:14,2024-01-08,CREDIT,Transfer,6665,Transfer transaction,UPI
TXN006205,2024-01-08T10:58:41,2024-01-08,DEBIT,Entertainment,1753,Entertainment transaction,UPI
TXN013624,2024-01-08T11:38:03,2024-01-08,CREDIT,Income,3836,Income transaction,UPI
TXN002212,2024-01-08T12:16:26,2024-01-08,DEBIT,Travel,715,Travel transaction,Card
TXN005980,2024-01-08T14:09:02,2024-01-08,DEBIT,Bills,2415,Bills transaction,NetBanking
TXN016469,2024-01-08T15:02:25,2024-01-08,CREDIT,Salary,51893,Salary transaction,Card
TXN008684,2024-01-08T15:58:22,2024-01-08,DEBIT,Rent,9192,Rent transaction,Cash
TXN016528,2024-01-08T16:18:08,2024-01-08,DEBIT,Education,2236,Education transaction,UPI
TXN010319,2024-01-08T17:04:27,2024-01-08,DEBIT,Transfer,2535,Transfer transaction,NetBanking
TXN018154,2024-01-08T17:26:25,2024-01-08,CREDIT,Salary,25962,Salary transaction,Card
TXN009489,2024-01-08T18:42:04,2024-01-08,CREDIT,Salary,35183,Salary transaction,NetBanking
TXN011737,2024-01-08T19:24:36,2024-01-08,CREDIT,Salary,25010,Salary transaction,NetBanking
TXN006771,2024-01-08T20:21:26,2024-01-08,DEBIT,Food,425,Food transaction,Cash
TXN004942,2024-01-08T21:52:44,2024-01-08,DEBIT,Shopping,3313,Shopping transaction,Card
TXN009718,2024-01-08T22:32:25,2024-01-08,DEBIT,Transfer,4925,Transfer transaction,UPI
TXN003788,2024-01-08T22:48:53,2024-01-08,DEBIT,Food,410,Food transaction,Card
TXN002604,2024-01-08T22:51:11,2024-01-08,DEBIT,Rent,12392,Rent transaction,Card
TXN007045,2024-01-08T23:17:44,2024-01-08,DEBIT,Transfer,9411,Transfer transaction,Cash
TXN014126,2024-01-09T00:11:31,2024-01-09,DEBIT,Travel,1029,Travel transaction,NetBanking
TXN014721,2024-01-09T01:44:49,2024-01-09,DEBIT,Entertainment,1552,Entertainment transaction,Cash
TXN001082,2024-01-09T02:28:26,2024-01-09,DEBIT,Food,394,Food transaction,UPI
TXN003654,2024-01-09T03:47:09,2024-01-09,DEBIT,Health,1520,Health transaction,UPI
TXN003428,2024-01-09T05:09:02,2024-01-09,DEBIT,Rent,14531,Rent transaction,NetBanking
TXN007638,2024-01-09T07:49:28,2024-01-09,DEBIT,Travel,2010,Travel transaction,NetBanking
TXN019850,2024-01-09T08:16:02,2024-01-09,DEBIT,Bills,281,Bills transaction,UPI
TXN000876,2024-01-09T08:28:34,2024-01-09,CREDIT,Transfer,14866,Transfer transaction,UPI
TXN005276,2024-01-09T08:32:10,2024-01-09,DEBIT,Travel,1849,Travel transaction,Cash
TXN004964,2024-01-09T09:03:22,2024-01-09,DEBIT,Education,5673,Education transaction,NetBanking
TXN012538,2024-01-09T09:22:42,2024-01-09,DEBIT,Education,5660,Education transaction,Cash
TXN011107,2024-01-09T09:49:52,2024-01-09,DEBIT,Transfer,1599,Transfer transaction,Cash
TXN007769,2024-01-09T09:57:10,2024-01-09,CREDIT,Income,6733,Income transaction,Cash
TXN001384,2024-01-09T10:11:11,2024-01-09,DEBIT,Entertainment,904,Entertainment transaction,Cash
TXN001508,2024-01-09T10:54:12,2024-01-09,DEBIT,Transfer,4778,Transfer transaction,Card
TXN017977,2024-01-09T11:00:58,2024-01-09,CREDIT,Salary,34343,Salary transaction,NetBanking
TXN000511,2024-01-09T12:30:32,2024-01-09,DEBIT,Education,576,Education transaction,UPI
TXN001793,2024-01-09T12:59:06,2024-01-09,CREDIT,Salary,45224,Salary transaction,Card
TXN017686,2024-01-09T15:35:11,2024-01-09,DEBIT,Food,370,Food transaction,Cash
TXN017214,2024-01-09T15:45:59,2024-01-09,DEBIT,Transfer,1776,Transfer transaction,Cash
TXN004712,2024-01-09T16:06:50,2024-01-09,CREDIT,Transfer,2514,Transfer transaction,UPI
TXN004557,2024-01-09T17:20:44,2024-01-09,DEBIT,Bills,1767,Bills transaction,UPI
TXN010476,2024-01-09T18:31:45,2024-01-09,CREDIT,Income,13280,Income transaction,UPI
TXN014992,2024-01-09T18:49:27,2024-01-09,DEBIT,Transfer,7776,Transfer transaction,Card
TXN008307,2024-01-09T18:54:33,2024-01-09,DEBIT,Health,2767,Health transaction,NetBanking
TXN015483,2024-01-09T19:01:30,2024-01-09,DEBIT,Shopping,3483,Shopping transaction,Cash
TXN006701,2024-01-09T20:31:58,2024-01-09,DEBIT,Rent,8723,Rent transaction,Cash
TXN000182,2024-01-09T20:36:17,2024-01-09,DEBIT,Health,1424,Health transaction,UPI
TXN003576,2024-01-09T20:47:23,2024-01-09,CREDIT,Salary,31790,Salary transaction,NetBanking
TXN003163,2024-01-09T20:59:13,2024-01-09,DEBIT,Rent,10761,Rent transaction,Card
TXN004858,2024-01-09T22:00:44,2024-01-09,CREDIT,Salary,42838,Salary transaction,Cash
TXN012300,2024-01-09T23:02:24,2024-01-09,DEBIT,Travel,550,Travel transaction,UPI
TXN009257,2024-01-09T23:04:43,2024-01-09,CREDIT,Income,8400,Income transaction,UPI
TXN013798,2024-01-10T00:09:18,2024-01-10,DEBIT,Education,2549,Education transaction,Card
TXN014211,2024-01-10T01:19:28,2024-01-10,DEBIT,Transfer,1115,Transfer transaction,UPI
TXN018187,2024-01-10T05:57:56,2024-01-10,CREDIT,Transfer,18611,Transfer transaction,Card
TXN003865,2024-01-10T06:07:22,2024-01-10,DEBIT,Rent,13852,Rent transaction,UPI
TXN012998,2024-01-10T09:31:29,2024-01-10,CREDIT,Income,8617,Income transaction,Cash
TXN015360,2024-01-10T09:51:17,2024-01-10,CREDIT,Income,12780,Income transaction,Cash
TXN010015,2024-01-10T12:02:00,2024-01-10,DEBIT,Bills,915,Bills transaction,UPI
TXN015990,2024-01-10T12:08:42,2024-01-10,DEBIT,Bills,1906,Bills transaction,UPI
TXN012025,2024-01-10T12:23:08,2024-01-10,DEBIT,Health,2279,Health transaction,Cash
TXN010689,2024-01-10T13:49:52,2024-01-10,DEBIT,Food,288,Food transaction,Card
TXN014452,2024-01-10T14:58:36,2024-01-10,DEBIT,Rent,13310,Rent transaction,Card
TXN014529,2024-01-10T15:48:17,2024-01-10,DEBIT,Health,2065,Health transaction,Cash
TXN019600,2024-01-10T17:23:12,2024-01-10,CREDIT,Income,11242,Income transaction,Card
TXN017774,2024-01-10T17:53:32,2024-01-10,DEBIT,Travel,669,Travel transaction,Card
TXN001514,2024-01-10T18:11:49,2024-01-10,DEBIT,Rent,10503,Rent transaction,Card
TXN003857,2024-01-10T18:12:42,2024-01-10,CREDIT,Income,1963,Income transaction,Card
TXN003874,2024-01-10T19:43:31,2024-01-10,DEBIT,Food,248,Food transaction,Card
TXN003387,2024-01-10T21:37:45,2024-01-10,CREDIT,Transfer,6489,Transfer transaction,UPI
TXN018136,2024-01-10T23:49:45,2024-01-10,CREDIT,Income,11439,Income transaction,Cash
TXN012184,2024-01-11T00:01:11,2024-01-11,DEBIT,Shopping,3435,Shopping transaction,Card
TXN007114,2024-01-11T01:04:34,2024-01-11,CREDIT,Income,14993,Income transaction,Cash
TXN016567,2024-01-11T01:14:02,2024-01-11,DEBIT,Rent,10072,Rent transaction,UPI
TXN001481,2024-01-11T02:41:04,2024-01-11,CREDIT,Salary,48777,Salary transaction,Card
TXN001668,2024-01-11T03:33:58,2024-01-11,CREDIT,Salary,42933,Salary transaction,NetBanking
TXN019019,2024-01-11T03:37:33,2024-01-11,DEBIT,Entertainment,1406,Entertainment transaction,Cash
TXN007345,2024-01-11T03:57:50,2024-01-11,DEBIT,Entertainment,1284,Entertainment transaction,UPI
TXN002656,2024-01-11T04:40:27,2024-01-11,CREDIT,Income,2555,Income transaction,UPI
TXN005217,2024-01-11T05:09:15,2024-01-11,DEBIT,Bills,2306,Bills transaction,Cash
